2023-03-11 09:28:42,853 INFO    Thread-8 (_run_job):610725 [wandb_setup.py:_flush():68] Configure stats pid to 610725
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/.config/wandb/settings
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/git/SCA_CNN/wandb/settings
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'for_batch_test', 'entity': 'aceleo', 'root_dir': '/home/admin1/git/SCA_CNN', 'sweep_id': '4qfvzhyo', 'run_id': '0sj0erhr', 'sweep_param_path': '/home/admin1/git/SCA_CNN/wandb/sweep-4qfvzhyo/config-0sj0erhr.yaml'}
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/admin1/git/SCA_CNN/main.py'}
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_init.py:_log_setup():476] Logging user logs to /home/admin1/git/SCA_CNN/wandb/run-20230311_092842-0sj0erhr/logs/debug.log
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_init.py:_log_setup():477] Logging internal logs to /home/admin1/git/SCA_CNN/wandb/run-20230311_092842-0sj0erhr/logs/debug-internal.log
2023-03-11 09:28:42,854 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():516] calling init triggers
2023-03-11 09:28:42,855 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():519] wandb.init called with sweep_config: {'J': 2, 'Q': 64, 'channel_1': 4, 'channel_2': 16, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 3, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0008309777930155087, 'optimizer': 'sgd', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
config: {}
2023-03-11 09:28:42,855 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():569] starting backend
2023-03-11 09:28:42,855 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():573] setting up manager
2023-03-11 09:28:42,860 INFO    Thread-8 (_run_job):610725 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-11 09:28:42,866 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():580] backend started and connected
2023-03-11 09:28:42,871 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_config_callback():1160] config_cb None None {'J': 2, 'Q': 64, 'channel_1': 4, 'channel_2': 16, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 3, 'kernel_width': 5, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0008309777930155087, 'optimizer': 'sgd', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
2023-03-11 09:28:42,871 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():658] updated telemetry
2023-03-11 09:28:42,876 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-11 09:28:43,462 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_on_init():2000] communicating current version
2023-03-11 09:28:43,499 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-11 09:28:43,499 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():728] starting run threads in backend
2023-03-11 09:28:44,851 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_console_start():1980] atexit reg
2023-03-11 09:28:44,851 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-11 09:28:44,851 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-11 09:28:44,851 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-11 09:28:44,852 INFO    Thread-8 (_run_job):610725 [wandb_init.py:init():765] run started, returning control to user process
2023-03-11 09:28:46,073 INFO    Thread-8 (_run_job):610725 [wandb_watch.py:watch():51] Watching
2023-03-11 09:30:28,825 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_finish():1746] finishing run aceleo/for_batch_test/0sj0erhr
2023-03-11 09:30:28,825 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2023-03-11 09:30:28,825 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_restore():1932] restore
2023-03-11 09:30:28,825 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_restore():1938] restore done
2023-03-11 09:30:34,581 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-11 09:30:34,582 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-11 09:30:34,587 INFO    Thread-8 (_run_job):610725 [wandb_run.py:_footer_sync_info():3333] logging synced files
