2023-03-13 06:15:50,861 INFO    Thread-2 (_run_job):1270911 [wandb_setup.py:_flush():68] Configure stats pid to 1270911
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/.config/wandb/settings
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/git/SCA_CNN/wandb/settings
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'for_batch_test_jc_1', 'entity': 'aceleo', 'root_dir': '/home/admin1/git/SCA_CNN', 'sweep_id': 'yh19v5pn', 'run_id': '7ec1e61r', 'sweep_param_path': '/home/admin1/git/SCA_CNN/wandb/sweep-yh19v5pn/config-7ec1e61r.yaml'}
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/admin1/git/SCA_CNN/main.py'}
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:_log_setup():476] Logging user logs to /home/admin1/git/SCA_CNN/wandb/run-20230313_061550-7ec1e61r/logs/debug.log
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:_log_setup():477] Logging internal logs to /home/admin1/git/SCA_CNN/wandb/run-20230313_061550-7ec1e61r/logs/debug-internal.log
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():516] calling init triggers
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():519] wandb.init called with sweep_config: {'J': 3, 'Q': 36, 'channel_1': 8, 'channel_2': 16, 'channel_3': 64, 'dense': 2, 'epochs': 200, 'kernel_length': 5, 'kernel_width': 2, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0005587734805997421, 'optimizer': 'sgd', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
config: {}
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():569] starting backend
2023-03-13 06:15:50,862 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():573] setting up manager
2023-03-13 06:15:50,867 INFO    Thread-2 (_run_job):1270911 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-13 06:15:50,871 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():580] backend started and connected
2023-03-13 06:15:50,873 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_config_callback():1160] config_cb None None {'J': 3, 'Q': 36, 'channel_1': 8, 'channel_2': 16, 'channel_3': 64, 'dense': 2, 'epochs': 200, 'kernel_length': 5, 'kernel_width': 2, 'layer': 4, 'loss_function': 'mine_cross', 'lr': 0.0005587734805997421, 'optimizer': 'sgd', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
2023-03-13 06:15:50,873 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():658] updated telemetry
2023-03-13 06:15:50,875 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-13 06:15:51,412 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_on_init():2000] communicating current version
2023-03-13 06:15:51,438 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-13 06:15:51,438 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():728] starting run threads in backend
2023-03-13 06:15:51,487 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_console_start():1980] atexit reg
2023-03-13 06:15:51,487 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-13 06:15:51,487 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-13 06:15:51,487 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-13 06:15:51,488 INFO    Thread-2 (_run_job):1270911 [wandb_init.py:init():765] run started, returning control to user process
2023-03-13 06:15:52,626 INFO    Thread-2 (_run_job):1270911 [wandb_watch.py:watch():51] Watching
2023-03-13 06:45:20,126 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_finish():1746] finishing run aceleo/for_batch_test_jc_1/7ec1e61r
2023-03-13 06:45:20,126 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-03-13 06:45:20,126 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_restore():1932] restore
2023-03-13 06:45:20,127 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_restore():1938] restore done
2023-03-13 06:45:27,400 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-13 06:45:27,402 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-13 06:45:27,404 INFO    Thread-2 (_run_job):1270911 [wandb_run.py:_footer_sync_info():3333] logging synced files
