2023-03-15 14:40:39,187 INFO    Thread-18 (_run_job):1752445 [wandb_setup.py:_flush():68] Configure stats pid to 1752445
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/.config/wandb/settings
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_setup.py:_flush():68] Loading settings from /home/admin1/git/SCA_CNN/wandb/settings
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'for_batch_test_jc_1', 'entity': 'aceleo', 'root_dir': '/home/admin1/git/SCA_CNN', 'run_id': 'y1mzlds2', 'sweep_param_path': '/home/admin1/git/SCA_CNN/wandb/sweep-jpnqkc15/config-y1mzlds2.yaml', 'sweep_id': 'jpnqkc15'}
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/admin1/git/SCA_CNN/main.py'}
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:_log_setup():476] Logging user logs to /home/admin1/git/SCA_CNN/wandb/run-20230315_144039-y1mzlds2/logs/debug.log
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:_log_setup():477] Logging internal logs to /home/admin1/git/SCA_CNN/wandb/run-20230315_144039-y1mzlds2/logs/debug-internal.log
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():516] calling init triggers
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():519] wandb.init called with sweep_config: {'J': 4, 'Q': 48, 'channel_1': 8, 'channel_2': 8, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 3, 'kernel_width': 3, 'layer': 2, 'loss_function': 'mine_cross', 'lr': 0.0003866761381375645, 'optimizer': 'nadam', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
config: {}
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():569] starting backend
2023-03-15 14:40:39,188 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():573] setting up manager
2023-03-15 14:40:39,192 INFO    Thread-18 (_run_job):1752445 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-15 14:40:39,196 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():580] backend started and connected
2023-03-15 14:40:39,198 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_config_callback():1160] config_cb None None {'J': 4, 'Q': 48, 'channel_1': 8, 'channel_2': 8, 'channel_3': 32, 'dense': 2, 'epochs': 200, 'kernel_length': 3, 'kernel_width': 3, 'layer': 2, 'loss_function': 'mine_cross', 'lr': 0.0003866761381375645, 'optimizer': 'nadam', 'project_name': 'scattering_2.5k_100', 'wrong_key': 0}
2023-03-15 14:40:39,198 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():658] updated telemetry
2023-03-15 14:40:39,200 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-03-15 14:40:40,268 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_on_init():2000] communicating current version
2023-03-15 14:40:40,625 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-15 14:40:40,625 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():728] starting run threads in backend
2023-03-15 14:40:40,673 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_console_start():1980] atexit reg
2023-03-15 14:40:40,674 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-15 14:40:40,674 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-15 14:40:40,674 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-15 14:40:40,674 INFO    Thread-18 (_run_job):1752445 [wandb_init.py:init():765] run started, returning control to user process
2023-03-15 14:40:41,174 INFO    Thread-18 (_run_job):1752445 [wandb_watch.py:watch():51] Watching
2023-03-15 14:52:44,864 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_finish():1746] finishing run aceleo/for_batch_test_jc_1/y1mzlds2
2023-03-15 14:52:44,864 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-03-15 14:52:44,864 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_restore():1932] restore
2023-03-15 14:52:44,864 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_restore():1938] restore done
2023-03-15 14:52:52,670 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-03-15 14:52:52,672 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-03-15 14:52:52,674 INFO    Thread-18 (_run_job):1752445 [wandb_run.py:_footer_sync_info():3333] logging synced files
